muertra 1;1mol;muestra 2;2mol;muestra 3;5mol;;6mol;;8mol;incognita;
lambda_1;abs_1;lambda_2;abs_2;lambda_5;abs_5;lambda_6;abs_6;lambda_8;abs_8;lambda_i;abs_i
367.81904;0.02659;367.81904;0.07382;367.81904;0.15427;367.81904;0.18903;367.81904;0.23489;367.81904;0.13767
368.27859;0.04654;368.27859;0.08095;368.27859;0.17786;368.27859;0.20294;368.27859;0.24326;368.27859;0.15415
368.73816;0.04437;368.73816;0.08216;368.73816;0.168;368.73816;0.20353;368.73816;0.24902;368.73816;0.15295
369.19776;0.03729;369.19776;0.08155;369.19776;0.17336;369.19776;0.21244;369.19776;0.26589;369.19776;0.16025
369.65738;0.03394;369.65738;0.08214;369.65738;0.16286;369.65738;0.20801;369.65738;0.26103;369.65738;0.15701
370.11703;0.04393;370.11703;0.07759;370.11703;0.18282;370.11703;0.211;370.11703;0.2614;370.11703;0.15555
370.5767;0.04389;370.5767;0.08863;370.5767;0.18292;370.5767;0.218;370.5767;0.26829;370.5767;0.15676
371.0364;0.03956;371.0364;0.07451;371.0364;0.17509;371.0364;0.21082;371.0364;0.26636;371.0364;0.162
371.49613;0.04107;371.49613;0.07723;371.49613;0.17937;371.49613;0.22076;371.49613;0.26853;371.49613;0.15967
371.95588;0.04206;371.95588;0.09193;371.95588;0.1835;371.95588;0.22007;371.95588;0.2799;371.95588;0.16749
372.41566;0.04507;372.41566;0.08777;372.41566;0.18954;372.41566;0.21075;372.41566;0.27633;372.41566;0.16304
372.87547;0.04213;372.87547;0.08109;372.87547;0.1943;372.87547;0.23681;372.87547;0.2963;372.87547;0.1749
373.3353;0.04593;373.3353;0.09634;373.3353;0.19404;373.3353;0.23408;373.3353;0.29647;373.3353;0.17002
373.79516;0.05021;373.79516;0.0857;373.79516;0.18986;373.79516;0.23613;373.79516;0.28261;373.79516;0.16789
374.25504;0.04308;374.25504;0.08766;374.25504;0.19951;374.25504;0.23326;374.25504;0.29623;374.25504;0.17645
374.71495;0.04349;374.71495;0.09745;374.71495;0.20996;374.71495;0.24322;374.71495;0.30246;374.71495;0.17728
375.17489;0.05347;375.17489;0.09593;375.17489;0.20606;375.17489;0.25384;375.17489;0.3151;375.17489;0.18897
375.63486;0.03949;375.63486;0.08875;375.63486;0.20767;375.63486;0.24929;375.63486;0.31314;375.63486;0.18223
376.09485;0.05007;376.09485;0.09833;376.09485;0.2162;376.09485;0.26067;376.09485;0.32391;376.09485;0.19042
376.55486;0.04792;376.55486;0.09598;376.55486;0.21557;376.55486;0.26336;376.55486;0.32044;376.55486;0.19805
377.01491;0.0497;377.01491;0.0992;377.01491;0.21844;377.01491;0.25747;377.01491;0.33197;377.01491;0.19425
377.47498;0.0451;377.47498;0.0997;377.47498;0.21347;377.47498;0.26662;377.47498;0.32575;377.47498;0.20033
377.93507;0.04804;377.93507;0.10038;377.93507;0.22177;377.93507;0.26799;377.93507;0.33583;377.93507;0.19268
378.39519;0.05678;378.39519;0.09922;378.39519;0.22843;378.39519;0.27358;378.39519;0.3398;378.39519;0.18895
378.85534;0.05326;378.85534;0.10927;378.85534;0.21696;378.85534;0.26555;378.85534;0.33818;378.85534;0.19262
379.31552;0.04588;379.31552;0.10281;379.31552;0.2163;379.31552;0.26239;379.31552;0.33419;379.31552;0.18717
379.77572;0.05305;379.77572;0.10727;379.77572;0.23286;379.77572;0.28196;379.77572;0.34356;379.77572;0.19903
380.23595;0.05663;380.23595;0.10297;380.23595;0.22891;380.23595;0.27947;380.23595;0.35105;380.23595;0.19571
380.69621;0.05337;380.69621;0.10735;380.69621;0.23503;380.69621;0.28168;380.69621;0.34323;380.69621;0.20878
381.15649;0.05562;381.15649;0.11751;381.15649;0.23838;381.15649;0.29607;381.15649;0.36694;381.15649;0.21867
381.6168;0.04874;381.6168;0.10596;381.6168;0.23938;381.6168;0.29285;381.6168;0.35934;381.6168;0.21295
382.07714;0.05755;382.07714;0.11005;382.07714;0.25852;382.07714;0.30684;382.07714;0.38206;382.07714;0.21598
382.53751;0.05524;382.53751;0.11091;382.53751;0.26612;382.53751;0.30906;382.53751;0.37968;382.53751;0.22705
382.9979;0.05965;382.9979;0.12012;382.9979;0.2571;382.9979;0.30855;382.9979;0.38781;382.9979;0.23286
383.45831;0.0564;383.45831;0.11698;383.45831;0.25856;383.45831;0.31012;383.45831;0.39284;383.45831;0.2274
383.91876;0.05135;383.91876;0.11602;383.91876;0.25527;383.91876;0.31122;383.91876;0.39171;383.91876;0.22724
384.37923;0.06285;384.37923;0.12432;384.37923;0.27193;384.37923;0.32934;384.37923;0.40694;384.37923;0.24274
